ID,Ring2,Ring3,Ring4,Ring5,Ring6,Ring7,Ring8,Ring9,Ring10,Ring11
Sub00001,0,0,0,0,0,0,0,0,0,0
Sub00002,0,0,0,0,0,0,0,0,0,0
Sub00003,0,0,0,0,0,0,0,0,0,0
Sub00004,0,0,0,0,0,0,0,0,0,0
Sub00005,0,0,0,0,0,0,0,0,0,0
Sub00006,0,0,0,0,0,0,0,0,0,0
Sub00007,0,0,0,0,0,0,0,0,0,0
Sub00008,0,0,0,0,0,0,0,0,0,0
Sub00009,0,0,0,0,0,0,0,0,0,0
Sub00010,0,0,0,0,0,0,0,0,0,0
Sub00011,0,0,0,0,0,0,0,0,0,0
Sub00012,0,0,0,0,0,0,0,0,0,0
Sub00013,0,0,0,0,0,0,0,0,0,0
Sub00014,0,0,0,0,0,0,0,0,0,0
Sub00015,0,0,0,0,0,0,0,0,0,0
Sub00016,0,0,0,0,0,0,0,0,0,0
Sub00017,0,0,0,0,0,0,0,0,0,0
Sub00018,0,0,0,0,0,0,0,0,0,0
Sub00019,0,0,0,0,0,0,0,0,0,0
Sub00020,0,0,0,0,0,0,0,0,0,0
Sub00021,0,0,0,0,0,0,0,0,0,0
Sub00022,0,0,0,0,0,0,0,0,0,0
Sub00023,0,0,0,0,0,0,0,0,0,0
Sub00024,0,0,0,0,0,0,0,0,0,0
Sub00025,0,0,0,0,0,0,0,0,0,0
Sub00026,0,0,0,0,0,0,0,0,0,0
Sub00027,0,0,0,0,0,0,0,0,0,0
Sub00028,0,0,0,0,0,0,0,0,0,0
Sub00029,0,0,0,0,0,0,0,0,0,0
Sub00030,0,0,0,0,0,0,0,0,0,0
Sub00031,0,0,0,0,0,0,0,0,0,0
Sub00032,0,0,0,0,0,0,0,0,0,0
Sub00033,0,0,0,0,0,0,0,0,0,0
Sub00034,0,0,0,0,0,0,0,0,0,0
Sub00035,0,0,0,0,0,0,0,0,0,0
Sub00036,0,0,0,0,0,0,0,0,0,0
Sub00037,0,0,0,0,0,0,0,0,0,0
Sub00038,0,0,0,0,0,0,0,0,0,0
Sub00039,0,0,0,0,0,0,0,0,0,0
Sub00040,0,0,0,0,0,0,0,0,0,0
Sub00041,0,0,0,0,0,0,0,0,0,0
Sub00042,0,0,0,0,0,0,0,0,0,0
Sub00043,0,0,0,0,0,0,0,0,0,0
Sub00044,0,0,0,0,0,0,0,0,0,0
Sub00045,0,0,0,0,0,0,0,0,0,0
Sub00046,0,0,0,0,0,0,0,0,0,0
Sub00047,0,0,0,0,0,0,0,0,0,0
Sub00048,0,0,0,0,0,0,0,0,0,0
Sub00049,0,0,0,0,0,0,0,0,0,0
Sub00050,0,0,0,0,0,0,0,0,0,0
Sub00051,0,0,0,0,0,0,0,0,0,0
Sub00052,0,0,0,0,0,0,0,0,0,0
Sub00053,0,0,0,0,0,0,0,0,0,0
Sub00054,0,0,0,0,0,0,0,0,0,0
Sub00055,0,0,0,0,0,0,0,0,0,0
Sub00056,0,0,0,0,0,0,0,0,0,0
Sub00057,0,0,0,0,0,0,0,0,0,0
Sub00058,0,0,0,0,0,0,0,0,0,0
Sub00059,0,0,0,0,0,0,0,0,0,0
Sub00060,0,0,0,0,0,0,0,0,0,0
Sub00061,0,0,0,0,0,0,0,0,0,0
Sub00062,0,0,0,0,0,0,0,0,0,0
Sub00063,0,0,0,0,0,0,0,0,0,0
