ID,Ring2,Ring3,Ring4,Ring5,Ring6,Ring7,Ring8,Ring9,Ring10,Ring11
Sub00001,0.67175998,0.642389482,0.63955575,0.639197992,0.649590486,0.641925713,0.619473244,0.605080513,0.604628345,0.612799392
Sub00002,0.662627305,0.630718711,0.631280516,0.637122023,0.638155164,0.630436347,0.61160711,0.598811854,0.594467644,0.609315737
Sub00003,0.518620341,0.514049573,0.518163403,0.528883597,0.532596748,0.530729927,0.520091913,0.514273898,0.522514984,0.532280147
Sub00004,0.653817704,0.625603771,0.637136793,0.643929037,0.648019554,0.631326094,0.609591237,0.601694793,0.611379786,0.623689046
Sub00005,0.620068872,0.603813216,0.601300887,0.607832576,0.622285958,0.60438809,0.591285466,0.587074348,0.600758509,0.616138884
Sub00006,0.657193652,0.635808756,0.639060241,0.646215633,0.644831247,0.632749125,0.616143133,0.607732925,0.619465299,0.635232353
Sub00007,0.644148634,0.629731729,0.633758583,0.632727981,0.639367196,0.627329851,0.614020823,0.608955986,0.614284347,0.633304784
Sub00008,0.691457769,0.654452137,0.651303775,0.657251958,0.657108914,0.652747624,0.64705729,0.63718289,0.633954085,0.63188246
Sub00009,0.621984369,0.618823609,0.618682109,0.622316615,0.624374754,0.614348209,0.59193092,0.582013925,0.592434934,0.601260074
Sub00010,0.660205374,0.643199671,0.657365356,0.663017675,0.657786945,0.635571659,0.60923453,0.601112181,0.613463908,0.631377808
Sub00011,0.67906141,0.650540004,0.6539243,0.663960746,0.673201584,0.66202872,0.645083274,0.626447725,0.627107655,0.647257147
Sub00012,0.696691721,0.670565735,0.671464849,0.668743458,0.670011337,0.658427538,0.642819468,0.630679084,0.634920167,0.643449591
Sub00013,0.663139712,0.645503216,0.644043805,0.650526281,0.655629761,0.641790247,0.61758733,0.605643447,0.611116202,0.624832673
Sub00014,0.635593613,0.62118049,0.622209203,0.629616426,0.632658346,0.622761558,0.605985496,0.595295074,0.600300913,0.620590108
Sub00015,0.667501246,0.643096319,0.648375264,0.649536758,0.654800656,0.645547068,0.629089067,0.623990144,0.631013102,0.642583459
Sub00016,0.675526011,0.647062043,0.652092666,0.658713533,0.658686697,0.65246468,0.634314104,0.631054418,0.639875705,0.649039707
Sub00017,0.635858139,0.614357418,0.630384151,0.64788898,0.654177286,0.645502913,0.622051463,0.611322848,0.614798618,0.633289498
Sub00018,0.780286571,0.752440469,0.740804877,0.743300564,0.745583304,0.725556785,0.699275135,0.675493998,0.671019001,0.689521787
Sub00019,0.657329061,0.639544608,0.650030471,0.66101762,0.660929544,0.64897175,0.629252188,0.620307792,0.621638379,0.639907519
Sub00020,0.668007411,0.639322289,0.637364351,0.646848312,0.658727209,0.647387163,0.632758759,0.620374712,0.618513902,0.628378237
Sub00021,0.718224351,0.698159689,0.700782526,0.706249671,0.705265224,0.687786982,0.670782617,0.653251589,0.659499251,0.666063532
Sub00022,0.624537026,0.618051952,0.629433055,0.637913456,0.636178902,0.624967788,0.603057919,0.596907426,0.604467404,0.626811823
Sub00023,0.619066907,0.620319566,0.651495633,0.662794555,0.667895375,0.655553416,0.632183082,0.619946533,0.623343068,0.633602221
Sub00024,0.667450596,0.643307468,0.645141137,0.651759917,0.648910704,0.637630326,0.614644058,0.605886379,0.611484852,0.625012541
Sub00025,0.634776225,0.602244499,0.597951623,0.597126707,0.596842767,0.5922847,0.572688228,0.56057893,0.558504021,0.577878436
Sub00026,0.678598011,0.651778537,0.661791871,0.66119674,0.660214738,0.651914514,0.631902972,0.617159357,0.627219935,0.636977464
Sub00027,0.668653461,0.648341558,0.636312426,0.638692475,0.642947057,0.634150473,0.611691058,0.598048584,0.605301307,0.616384521
Sub00028,0.714238151,0.681184275,0.669873349,0.681636379,0.677725251,0.66333919,0.644440889,0.632077894,0.627014026,0.641233935
Sub00029,0.619896731,0.60700239,0.618611624,0.620413871,0.616700413,0.600353034,0.578653745,0.575730176,0.58444683,0.605219646
Sub00030,0.700864592,0.668716178,0.666581744,0.671120383,0.679843115,0.675876705,0.660127746,0.644348776,0.65089141,0.660865946
Sub00031,0.654601438,0.621155809,0.622014715,0.636671927,0.648364071,0.63961146,0.627195261,0.616560735,0.61581608,0.627786042
Sub00032,0.661508716,0.627561622,0.628707944,0.644265072,0.654501948,0.641916855,0.622796304,0.612546931,0.610504378,0.628477763
Sub00033,0.632431528,0.601878755,0.598029819,0.606926544,0.612125219,0.610401615,0.590812446,0.576910278,0.577586448,0.590873711
Sub00034,0.685115638,0.660080779,0.652512129,0.65292908,0.650418234,0.631869358,0.608641407,0.599620795,0.601459971,0.617923283
Sub00035,0.629419417,0.601765635,0.609594954,0.615275965,0.620047992,0.615400406,0.601541852,0.588691697,0.594899503,0.611790206
Sub00036,0.655883955,0.629935835,0.628107908,0.633557528,0.636972196,0.625645483,0.606236765,0.604009542,0.610412265,0.626024599
Sub00037,0.650293192,0.62229543,0.621477295,0.634731491,0.645181354,0.643498404,0.631414964,0.621720094,0.619961338,0.622571518
Sub00038,0.662400011,0.638426519,0.637522757,0.640528535,0.643421434,0.627624619,0.608891325,0.592911447,0.590218426,0.601463422
Sub00039,0.64306883,0.621643013,0.623054987,0.629166704,0.636329506,0.631453766,0.617227518,0.603377037,0.602097839,0.599245979
Sub00040,0.654210291,0.655045586,0.661828176,0.660088277,0.659266281,0.643413427,0.615972174,0.588613637,0.545917884,0.492737959
Sub00041,0.720593291,0.688610314,0.692512169,0.694250378,0.692414591,0.676964591,0.65508682,0.642666542,0.64824686,0.648553042
Sub00042,0.713317696,0.676424043,0.675902089,0.675214632,0.676792573,0.665579712,0.647547433,0.631241506,0.640433496,0.658321434
Sub00043,0.661129123,0.625735544,0.621534003,0.628385938,0.631887776,0.614620571,0.595797729,0.583209232,0.59173396,0.616649228
Sub00044,0.643332621,0.610934157,0.620172149,0.624372188,0.626904941,0.611235399,0.592224923,0.588444749,0.597666273,0.611941895
Sub00045,0.636484557,0.602796618,0.587804234,0.588968901,0.588538718,0.585533706,0.578316861,0.567890005,0.569075222,0.580222181
Sub00046,0.641883336,0.635174123,0.647192955,0.651773898,0.650231012,0.634797853,0.618006718,0.607053619,0.615494313,0.632300278
Sub00047,0.667014702,0.651688899,0.655376077,0.660324277,0.663410005,0.6553617,0.638250184,0.623529131,0.622663831,0.629465753
Sub00048,0.675425606,0.644065841,0.638300668,0.643022334,0.639095407,0.623314622,0.607807096,0.598518815,0.612058744,0.65308278
Sub00049,0.650275798,0.619827435,0.626574158,0.635882698,0.643253753,0.635219031,0.618725852,0.607136196,0.614939118,0.625725077
Sub00050,0.657509996,0.636392756,0.63769862,0.639440142,0.647139082,0.645299278,0.631954162,0.623288477,0.623869275,0.636351028
Sub00051,0.643940209,0.627101162,0.642453582,0.650787119,0.651593482,0.634930571,0.616454119,0.604353802,0.616690346,0.635823415
Sub00052,0.695583978,0.683325082,0.67852179,0.687145244,0.695120994,0.685841001,0.670297379,0.65925335,0.657772307,0.663200843
Sub00053,0.681190988,0.651125295,0.638400458,0.640158047,0.646782602,0.628672645,0.609299488,0.593234725,0.598976221,0.609699262
Sub00054,0.660519967,0.636119111,0.634433675,0.641827385,0.646942784,0.636250756,0.615221241,0.606489783,0.608255901,0.609577623
