ID,Ring2,Ring3,Ring4,Ring5,Ring6,Ring7,Ring8,Ring9,Ring10,Ring11
Sub00001,0.143870138,0.194305713,0.227885935,0.236430785,0.244223841,0.234273416,0.229854892,0.226111721,0.220600231,0.225846817
Sub00002,0.146843554,0.196017418,0.228913934,0.241886527,0.242035702,0.222086824,0.214706171,0.22280899,0.233223445,0.230058032
Sub00003,0.150500188,0.205766961,0.224644368,0.224410971,0.225667806,0.21797063,0.219793551,0.224342288,0.232590986,0.239963127
Sub00004,0.164709929,0.212871059,0.239257787,0.250418987,0.225408675,0.197194733,0.208840558,0.223017571,0.227927834,0.225746315
Sub00005,0.180474577,0.216434245,0.2482568,0.255984106,0.241746628,0.23681671,0.235726412,0.234014199,0.237136758,0.242876776
Sub00006,0.162957725,0.214795557,0.242728728,0.255949326,0.240432144,0.22162332,0.221586,0.232380121,0.237854297,0.235957777
Sub00007,0.162712769,0.215165893,0.242686076,0.254034046,0.234456995,0.213936707,0.209620724,0.220123717,0.237777301,0.241051042
Sub00008,0.136863755,0.193329203,0.224637631,0.237739771,0.253413539,0.244303608,0.232465429,0.22877891,0.232976268,0.241013334
Sub00009,0.147328925,0.183467623,0.221058844,0.242297897,0.244203615,0.23121481,0.236297899,0.244145094,0.237356253,0.238437846
Sub00010,0.169369842,0.210660857,0.232762383,0.240663163,0.21713704,0.210633006,0.204253538,0.206270674,0.207433848,0.212413655
Sub00011,0.157948639,0.203533011,0.236059686,0.237237727,0.234462673,0.222830307,0.21134279,0.206735673,0.21296578,0.211743053
Sub00012,0.138918275,0.189021689,0.221429146,0.235622043,0.246642463,0.24191137,0.230303629,0.21374383,0.209000007,0.221245329
Sub00013,0.16842264,0.213250562,0.228108212,0.236537326,0.219009441,0.210386434,0.212972344,0.223143049,0.225758009,0.224395927
Sub00014,0.162848366,0.212024982,0.233548513,0.248467636,0.231343556,0.221438792,0.220858104,0.22447965,0.235870742,0.237685474
Sub00015,0.171155621,0.225735126,0.245283829,0.252640957,0.237685368,0.217570104,0.212307659,0.225132266,0.24009102,0.241051292
Sub00016,0.154784185,0.2121535,0.25002466,0.263050179,0.257096883,0.234230394,0.222983149,0.236449394,0.248028328,0.251854638
Sub00017,0.180376694,0.225639189,0.243921928,0.237708885,0.222980217,0.21932209,0.208011829,0.209132093,0.230071623,0.236058244
Sub00018,0.142554178,0.193892712,0.227625114,0.248460904,0.233235477,0.213581894,0.211595092,0.214269097,0.215688529,0.21450506
Sub00019,0.159786392,0.204824601,0.230280607,0.243350927,0.223033453,0.207552347,0.206005701,0.213454392,0.228172664,0.226849548
Sub00020,0.135172344,0.189782224,0.217526344,0.229738606,0.229067938,0.215717173,0.211404362,0.211407319,0.218867864,0.22101449
Sub00021,0.164160166,0.220742526,0.243624955,0.255343617,0.242548867,0.220200774,0.222087679,0.228941935,0.229043188,0.229931435
Sub00022,0.165200592,0.206536861,0.226578676,0.229892837,0.22075354,0.215813817,0.219661975,0.225709404,0.219742164,0.221123003
Sub00023,0.165732662,0.207095276,0.233902465,0.240155419,0.219912601,0.206133561,0.197001512,0.199718212,0.202416041,0.199305286
